geocode-glib-2 3.26.4-4
geocode-glib-common 3.26.4-4
gettext 0.22.3-1
gflags 2.2.2-4
ghostscript 10.02.1-1
gi-docgen 2023.1-4
giflib 5.2.1-2
gimp-devel 2.99.16-2
git 2.42.1-1
git-lfs 3.4.0-1
github-cli 2.38.0-1
gjs 2:1.78.0-4
gksu 2.0.2-6
glew 2.2.0-6
glib-networking 1:2.78.0-1
glib2 2.78.1-1
glib2-docs 2.78.1-1
glibc 2.38-7
glibmm 2.66.6-1
glmark2 2023.01-1
glslang 13.0.0-1
glu 9.0.3-1
gmp 6.3.0-1
gn 0.2124.e4702d74-1
gnome-autoar 0.4.4-1
gnome-bluetooth-3.0 42.6-1
gnome-common 3.18.0-4
gnome-desktop 1:44.0-1
gnome-desktop-4 1:44.0-1
gnome-desktop-common 1:44.0-1
gnome-disk-utility 45.0-1
gnome-icon-theme-symbolic 3.12.0-6
gnome-settings-daemon 45.0-1
gnome-themes-extra 3.28+r6+g45b1d457-1
gnome-video-effects 1:0.6.0-1
gnu-free-fonts 20120503-8
gnupg 2.4.3-1
gnutls 3.8.1-2
go 2:1.21.4-1
gobject-introspection 1.78.1-1
gobject-introspection-runtime 1.78.1-1
gom 0.4-7
google-glog 0.6.0-1
gperf 3.1-5
gperftools 2.13-2
gpgme 1.23.1-1
gpm 1.20.7.r38.ge82d1a6-5
gptfdisk 1.0.9-2
graphene 1.10.8-1
graphite 1:1.3.14-3
graphviz 9.0.0-1
grep 3.11-1
grilo 0.3.16-1
grim 1.4.1-1
grimshot 1.6.1-5
groff 1.23.0-5
gsettings-desktop-schemas 45.0-1
gsfonts 20200910-3
gsl 2.7.1-3
gsm 1.0.22-1
gsound 1.0.3-3
gssdp 1.6.3-1
gst-editing-services 1.22.6-1
gst-plugin-gtk 1.22.6-1
gst-plugin-pipewire 1:0.3.84-1
gst-plugins-bad 1.22.6-1
gst-plugins-bad-libs 1.22.6-1
gst-plugins-base 1.22.6-1
gst-plugins-base-libs 1.22.6-1
gst-plugins-good 1.22.6-1
gstreamer 1.22.6-1
gtk-doc 1.33.2-3
gtk-layer-shell 0.8.1-1
gtk-update-icon-cache 1:4.12.3-2
gtk-vnc 1.3.1-1
gtk2 2.24.33-3
gtk3 1:3.24.38-1
gtk4 1:4.12.3-2
gtkmm3 3.24.8-1
gtksourceview4 4.8.4-1
gtksourceview5 5.10.0-1
gts 0.7.6.121130-2
guile 3.0.9-1
gulp 4.0.2-3
gupnp 1:1.6.6-1
gupnp-av 0.14.1-2
gupnp-dlna 0.12.0-2
gupnp-igd 1.6.0-1
gvfs 1.52.1-1
gvfs-gphoto2 1.52.1-1
gvfs-mtp 1.52.1-1
gzip 1.13-2
harfbuzz 8.3.0-1
harfbuzz-icu 8.3.0-1
hdf5 1.14.3-1
hdparm 9.65-1
